typ,nazwa drina,scieka zdjecia,skladnik 1,ilosc s1,skladnik 2,ilosc s2,skladnik 3 ,ilosc s3,skladnik 4 ,ilosc s4,skladnik 5,ilosc s5,skladnik 6,ilosc s6,skladnik 7,ilosc s7,skladnik 8,ilosc s8,instrukcje
drink, Let's Dance, lets_dance, Wodka wisniowa, 50 ml, Sok jablkowy, 100 ml, Sok grejfrutowy, 50 ml, Lod,,,,,,,,,,aaa
drink, Zabojcza Bron, zabojcza_bron, Wodka cytrynowa, 70 ml, Pestka z granatu, dwie lyzki, Sok z mango, 300 ml, Lod,,,,,,,,,,aaa
drink, Footloose, footloose, Wodka, 50 ml, Sok grejfrutowy, 100 ml, Sok pomaranczowy, 50 ml, Sprite, do dopelnienia, Lod,,,,,,,,aaa
drink, Mroczny Rycerz, mroczny_rycerz, Wodka cytrynowa, 50 ml, Sok z cytryny, cwiarta, Blue curacao, 20 ml, Cola , do dopelnienia, Pomarancza, do dekoracji, Lod,,,,,,aaa
drink, Bailamos, bailamos, Wodka, 50 ml, Sok z granatu, 100 ml, Sok pomaranczowy, 100 ml, Pomarancza, plaster, Mieta, do dekoracji, Lod,,,,,,aaa
drink, November Rain, november_rain, Wodka wisniowa, 50 ml, Sok z cyryny, cwiartka, Cola, do dopelnienia, Lod,,,,,,,,,,aaa
drink, Invisible Man, invisible_man, Wodka orzechowa, 50 ml, Mleczko skondensowane nieslodzone, 100 ml, Kawa rozpuszczalna, lyzeczka, Lod,,,,,,,,,,aaa
drink, Boombastic, boombastic, Wodka malinowa, 50 ml, Mieta, 4 listki, Pomarancza, plaster, Sprite, do dopelnienia, Lod,,,,,,,,aaa
drink, Toy Soldier, toy_soldier, Wodka czarna porzeczka, 50 ml, Sok zurawinowy, 100 ml, Sok z grejfrutowy, 100 ml, Sok pomaranczowy, 50 ml, Lod,,,,,,,,aaa
drink, Johny Bravo, johny_bravo, Wodka czarna porzeczka, 70 ml, Sok z cytryny, 20 ml, Sok pomaranczowy, 70 ml, Sok grejfrutowy, 50 ml, Grenadyna, 20 ml, Lod,,,,,,aaa
drink, Satisfaction, satisfaction, Wodka sliwkowa, 50 ml, Grenadyna, 20 ml, Sok z cytryny, 20 ml, Sok pomaranczowy, 150 ml, Lod,,,,,,,,aaa
drink, Yattaman(serio dobry drink),yattaman, Wodka pigwowa,50 ml, Sok z cytryny, 25 ml, Cola, do dopelnienia, Lod,,,,,,,,,,aaa
drink, Lowca Androidow, lowca_androidow, Woda sliwkowa, 70 ml, Sok z cytryny, cwiartka, Tonik, do dopelnienia, Lod,,,,,,,,,,aaa
drink, Smells Like Teen Spirit, smells_like_teen_spirit, Wodka, 50 ml, Malibu, 30 ml, Sok kaktusowy, 100 ml, Sok bananowy, 100 ml, Blue curacao, 5 ml, Lod,,,,,,aaa
drink, Smooth Criminal, smooth_criminal, Wodka, 50 ml, Brzoskwinia z puszki, polowa, Mieta, od 5 do 6 listkow, Sprite, Lod,,,,,,,,,aaa
drink, Two Princes, two_princes, Wodka malinowa, 50 ml, Grenadyna, 20 ml, Sok z cytryny, 40 ml, Woda gazowana, do dopelnienia, Mieta, do dekoracji, Lod,,,,,,aaa
drink, Devil Inside, devil_inside, Wodka, 50 ml, Sok z granatu, 150 ml, Sok grejfrutowy, 100 ml, Grenadyna, 20 ml, Lod,,,,,,,,aaa
drink, Upior W Operze, upior_w_operze, Wodka, 50 ml, Blue curacao, 70 ml, Sok z cyryny, 40 ml, Sok grejfrutowy, 100 ml, Sok pomaranczowy, 150 ml, Lod,,,,,,aaa
drink, Palm Bay, palm_bay, Wodka pigwowa, 50 ml, Sok pomaranczowy, 70 ml, Sok ananasowy, 100 ml, Sok z cyryny, 20 ml, Lod,,,,,,,,aaa
drink, Casino Royale, casino_royale, Wodka, 50 ml, Blue curacao, 30 ml, Sok pomaranczowy, 100 ml, Lod,,,,,,,,,,aaa
drink, South Park, south_park, Wodka, 70 ml, Malibu, 20 ml, Sok pomaranczowy, 50 ml, Sok z czarnej porzeczki, 50 ml, Grenadyna,20 ml, Lod,,,,,,aaa
drink, Sloneczny Patrol, sloneczny_patrol, Wodka, 50 ml, Wermut, 50 ml, Sok z mango, 100 ml, Sok grejfrutowy, 50 ml, Grenadyna, lyzka, Pomarancza i mieta do dekoracji, Lod,,,,,aaa
drink, Step By Step, step_by_step, Wodka, 50 ml, Blue curacao, 15 ml, Pomarancza, dwa plastry, Tonik,do dopelnienia,Lod,,,,,,,,aaa
drink, Stand By Me, stand_by_me, Wodka, 50 ml, Sok wisniowy, 150 ml, Sok z cytryny, 20 ml, Sok pomaranczowy, 50 ml, Lod,,,,,,,,aaa
drink, Little Rock, little_rock, Wodka,50 ml, Wodka cytrynowa, 50 ml, Sok grejfrutowy, 50 ml, Lod,,,,,,,,,,aaa
drink, Pigwowe Kamikaze, pigwowe_kamikaze, Wodka pigwowa, 40 ml, Blue curacao, 40 ml, Sok z cytryny, 40 ml, Lod,,,,,,,,,,aaa
drink, Walk Of Life, walk_of_life, Wodka, 50 ml, Syrop malinowy, 20 ml, Sok wisniowy, 100 ml, Tonik, do dopelnienia, Lod,,,,,,,,aaa
drink, Coco Extazy, coco_extazy, Blue curacao, 70 ml, Wodka, 40 ml, Malibu, 40 ml, Sok ananasowy, 150 ml, Lod,,,,,,,,aaa
drink, Cast Away, cast_away, Wodka cytrynowa, 50 ml, Sok grejfrutowy, 100 ml, Sok jablkowy, 50 ml, Blue curacao, 20 ml, Lod,,,,,,,,aaa
