typ,nazwa drina,scieka zdjecia,skladnik 1,ilosc s1,skladnik 2,ilosc s2,skladnik 3 ,ilosc s3,skladnik 4 ,ilosc s4,skladnik 5,ilosc s5,skladnik 6,ilosc s6,skladnik 7,ilosc s7,skladnik 8,ilosc s8,instrukcje,
drink, One On One, one_one_one, Bialy rum, 50 ml, Malibu, 50 ml, Sok ananasowy, Lod,,,,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do trzech kieliszkow po 50 ml lub kilku mniejszych.,
drink, Mojito Z Ogorkiem I Imbirem, mojito_z_ogorkiem_i_imbirem, Bialy rum, 40 ml, Limonka, polowa, Cukier brazowy, 2 lyzeczki, Mieta, kilka listkow, Dwa plasterki ogorka i kawalek imbiru, do dekoracji, Sprite, do dopelnienia, Lod,,,, Limonke kroje na 6 czesci... umieszczam je w szklance... zasypuje cukrem i ugniatam... zeby limonka puscila sok. Dodaje listki miety... ogorka oraz starty na tarce imbir i ponownie chwile ugniatam. Dodaje rum... kruszony lod i delikatnie mieszam lyzka. Dopelniam Spritem... dekoruje mieta i plasterkami ogork.,
drink, Red Fruit Mojito, red_fruit_mojito, Bialy rum, 40 ml, Limonka, polowa, Cukier brazowy, 2 lyzeczki, Mieta, kilka listkow, pestki granata, , Truskawki, dwie sztuki, Sprite, do dopelnienia, Lod,, Limonke kroje na 6 czesci... umieszczam je w szklance... zasypuje cukrem... dodaje pestki z granatu. Ugniatam... zeby limonka puscila sok. Dodaje listki miety i truskawki podzielone na cwiartki i ponownie ugniatam. Dodaje rum... kruszony |od i delikatnie mieszam lyzka. Dopelniam Spritem... dekoruje miet.,
drink, Born In The USA, born_in_the_usa, Bialy rum, 50 ml, Blue curacao, 50 ml, Sok grejfrutowy, 70 ml, Lod,,,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do kieliszka koktajlowego.,
drink, Cruel Summer, cruel_summer, Bialy rum, 50 ml, Malibu, 20 ml, Sok z cytryny, lyzeczka, Sok ananasowy, do dopelnienia, Grenadyna lub syrop malinowy, do dopelnienia, Lod,,,,,, Do szklanki wlewam na lod rum... Malibu i sok z cytryny... dopelniam sokiem ananasowym. Na koniec wlewam troche grenadyny lub syropu malinowego... zeby uzyskac efekt kolorystycznyjakna zdjeciu.,
drink, Man In The Mirror, man_in_the_mirror,Bialy rum, 50 ml, Sok ananasowy, 150 ml, Sok z czarnej porzeczki, 70 ml, Lod,,,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z kostkami lodu. Przecedzam na lod do szklanki... dekoruje czastka ananasa i miechunk.,
drink, Ready Or Not, ready_or_not, Bialy rum, 100 ml, Malibu, 50 ml , Blue curacao, kilka kropli do kazdego kieliszka, Lod,,,,,,,,,, Malibu i rum wstrzasam z lodem. Przecedzam do kieliszkow... do kazdego dodaje po kilka kropli syropu.,
drink, Firestarter, firestarter, Bialy rum, 50 ml, Grenadyna, 20 ml, Sok z czarnej porzeczki, 100 ml, Sok grejfrutowy, do dopelnienia, Lod,,,,,,,, Rum... grenadyne i sok z czarnej porzeczki wstrzasam w shakerze z lodem. Przecedzam na lod i dopelniam sokiem grejpfrutowym.,
drink, Riverside, riverside, Wodka, 50 ml, Sok z cytryny, 15 ml, Sok bananowy, 100 ml, Sok pomaranczowy, 50 ml, Grenadyna, 15 ml, Lod,,,,,, Wszystkie skladniki wstrzasem w shakerze z lodem. Przecedzam do szklanki na lod... dekoruje pomarancza i wisienka koktajlow.,
drink, The Time Of My Life, the_time_of_my_life, Wodka, 50 ml, Wermut, 30 ml, Sok kaktusowy, 150 ml, Sok grejfrutowy, 50 ml, Lod,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do szklanki na lod... dekoruje listkami miety i skorka z cytiyny.,
drink, Viper, viper, Bialy rum, 100 ml, Sok ananasowy, 100 ml, Sok pomaranczowy, 100 ml, Blue curacao, 20 ml, Lod,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z kostkami lodu. Przecedzam do szklanki na lod... dekoruje plasterkiem ananasa i pomaranczy.,
drink, Kiwi Daiquiri, kiwi_daiquiri, Bialy rum, 80 ml, Sok z limonki, 40 ml, Syrop cukrowy, 20 ml, Kiwi, polowa, Lod,,,,,,,, Kiwi obieram... kroje na male kawalki... umieszczam w shakerze i rozgniatam. Do shakera wlewam pozostale skladniki... wrzucam lod i wstrzasam. Przecedzam do kieliszka koktajlowego... dekoruje plasterkiem kiwi.,
drink, Under The Bridge, under_the_bridge, Bialy rum, 50 ml, Wodka, 50 ml, Grenadyna, 20 ml, Sok z cytryny, 40 ml , Cola, do dopelnienia, Plasterek cytryny, do dekoracji, Lod,,,, Wszystkie skladniki poza cola wstrzasam w shakerze z lodem. Przecedzam do szklanki na lod... dopelniam cola... a do srodka wrzucam plasterek cytryny.,
drink, Dzidzi, dzidzi, Wodka, 50 ml, Wermut, 100 ml, Sok wisniowy, 50 ml, Lod,,,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do kieliszka koktajlowego... ktory mozna wczesniej udekorowac crusta z cukru i grenadyny lub soku maiinowego.,
drink, Paradise City, paradise_city, Sok pomaranczowy, 120 ml, Blue curacao, 30 ml, Wodka, 70 ml, Sok z cytryny, 40 ml, Sok pomaranczowy, 150 ml, Lod,,,,,, Dwa pierwsze skladniki wstrzasam w shakerze bez lodu. Przecedzam do wysokiej szklanki na kostki lodu. Nastepnie kolejne trzy skladniki takze wstrzasam w shakerze bez lodu i delikatnie... po odwroconej lyzce przelewam do szklanki... zeby utworzyly sie dwie warstwy.,
drink, Cotton Eye Joe, cotoon_eye_joe, Wodka, 50 ml, Malibu, 50 ml, Sok bananowy, 150 ml, Sok pomaranczowy, 100 ml, Lod ,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do szklanki na lod... dekoruje pomarancza i miet.,
drink, Freestyler, freestyler, Wodka orzechowa, 50 ml, Sok bananowy, 100 ml, Blue curacao, lyzeczka, Lod,,,,,,,,,,  Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do kieliszka koktajlowego.,
drink, Let's Dance, lets_dance, Wodka wisniowa, 50 ml, Sok jablkowy, 100 ml, Sok grejfrutowy, 50 ml, Lod,,,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do szklanki na Lod. Dekoruje cytryna i wisienka koktajlow.,
drink, Zabojcza Bron, zabojcza_bron, Wodka cytrynowa, 70 ml, Pestka z granatu, dwie lyzki, Sok z mango, 300 ml, Lod,,,,,,,,,, Wodke ugniatam w szklance z pestkami granatu. Dodaje lod... uzupelniam sokiem z mango.,
drink, Footloose, footloose, Wodka, 50 ml, Sok grejfrutowy, 100 ml, Sok pomaranczowy, 50 ml, Sprite, do dopelnienia, Lod,,,,,,,, Trzy pierwsze skladniki wstrzasam w shakerze z kostkami lodu. Przecedzam do szklanki na Lod... dopelniam Spritem.,
drink, Mroczny Rycerz, mroczny_rycerz, Wodka cytrynowa, 50 ml, Sok z cytryny, cwiarta, Blue curacao, 20 ml, Cola , do dopelnienia, Pomarancza, do dekoracji, Lod,,,,,, Wszystkie skladniki poza cola umieszczam w shakerze z lodem... wstrzasam energicznie. Przecedzam do wysokiej szklanki na lod... dopelniam cola... dekoruje plasterkami pomaranczy.,
drink, Bailamos, bailamos, Wodka, 50 ml, Sok z granatu, 100 ml, Sok pomaranczowy, 100 ml, Pomarancza, plaster, Mieta, do dekoracji, Lod,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do wysokiej szklanki na lod... dekoruje pomarancza i miet.,
drink, November Rain, november_rain, Wodka wisniowa, 50 ml, Sok z cyryny, cwiartka, Cola, do dopelnienia, Lod,,,,,,,,,, Do szklanki wyciskam sok z cytryny i wrzucam cytryne do srodka. Dodaje wodke... lod i dopelniam col.,
drink, Invisible Man, invisible_man, Wodka orzechowa, 50 ml, Mleczko skondensowane nieslodzone, 100 ml, Kawa rozpuszczalna, lyzeczka, Lod,,,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do kieliszka koktajlowego... ktory mozna wczesniej udekorowac crusta z syropu cukrowego i kawy.,
drink, Boombastic, boombastic, Wodka malinowa, 50 ml, Mieta, 4 listki, Pomarancza, plaster, Sprite, do dopelnienia, Lod,,,,,,,, Pomarancze kroje w polplasterki... wrzucam do wysokiej szklanki... dodaje miete i ugniatam... zeby pomarancza puscila sok. Dodaje wodke... kostki lodu... mieszam delikatnie lyzka. Uzupelniam Spritem... dekoruje miet.,
drink, Toy Soldier, toy_soldier, Wodka czarna porzeczka, 50 ml, Sok zurawinowy, 100 ml, Sok z grejfrutowy, 100 ml, Sok pomaranczowy, 50 ml, Lod,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do duzej szklanki... dekoruje plasterkiem czerwonej pomaranczy.,
drink, Johny Bravo, johny_bravo, Wodka czarna porzeczka, 70 ml, Sok z cytryny, 20 ml, Sok pomaranczowy, 70 ml, Sok grejfrutowy, 50 ml, Grenadyna, 20 ml, Lod,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do szklanki... dekoruje pomarancza i miechunk.,
drink, Satisfaction, satisfaction, Wodka sliwkowa, 50 ml, Grenadyna, 20 ml, Sok z cytryny, 20 ml, Sok pomaranczowy, 150 ml, Lod,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do szklanki i dekoruje miechunk.,
drink, Yattaman(serio dobry drink),yattaman, Wodka pigwowa,50 ml, Sok z cytryny, 25 ml, Cola, do dopelnienia, Lod,,,,,,,,,, Do szklanki wlewam wodke... wyciskam sok z cwiartki cytryny... a nastepnie wrzucam cytryne do szklanki. Dodaje kilka kostek lodu i uzupelniam col.,
drink, Lowca Androidow, lowca_androidow, Woda sliwkowa, 70 ml, Sok z cytryny, cwiartka, Tonik, do dopelnienia, Lod,,,,,,,,,, Do szklanki wlewam wodke... wyciskam sok z cytryny... a cytryne wrzucam do srodka. Dodaje kostki lodu i uzupelniam tonikiem.,
drink, Smells Like Teen Spirit, smells_like_teen_spirit, Wodka, 50 ml, Malibu, 30 ml, Sok kaktusowy, 100 ml, Sok bananowy, 100 ml, Blue curacao, 5 ml, Lod,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do szklanki na lod... dekoruje plasterkiem kiwi.,
drink, Smooth Criminal, smooth_criminal, Wodka, 50 ml, Brzoskwinia z puszki, polowa, Mieta, od 5 do 6 listkow, Sprite, Lod,,,,,,,,, Brzoskwinie z mieta rozgniatam w szklance. Dodaje wodke... kruszony lod... delikatnie mieszam lyzka. Uzupelniam Spritem i dekoruje miet.,
drink, Two Princes, two_princes, Wodka malinowa, 50 ml, Grenadyna, 20 ml, Sok z cytryny, 40 ml, Woda gazowana, do dopelnienia, Mieta, do dekoracji, Lod,,,,,, Wszystkie skladniki poza woda wstrzasam w shakerze z lodem. Przecedzam do szklanki na lod... uzupelniam woda gazowana i dekoruje listkami miety.,
drink, Devil Inside, devil_inside, Wodka, 50 ml, Sok z granatu, 150 ml, Sok grejfrutowy, 100 ml, Grenadyna, 20 ml, Lod,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do wysokiej szklanki... dekoruje cytryn.,
drink, Upior W Operze, upior_w_operze, Wodka, 50 ml, Blue curacao, 70 ml, Sok z cyryny, 40 ml, Sok grejfrutowy, 100 ml, Sok pomaranczowy, 150 ml, Lod,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do duzej szklanki... dekoruje pomarancza... karambola i wisienka koktajlow.,
drink, Palm Bay, palm_bay, Wodka pigwowa, 50 ml, Sok pomaranczowy, 70 ml, Sok ananasowy, 100 ml, Sok z cyryny, 20 ml, Lod,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do wysokiej szklanki... dekoruje czastka ananas.,
drink, Casino Royale, casino_royale, Wodka, 50 ml, Blue curacao, 30 ml, Sok pomaranczowy, 100 ml, Lod,,,,,,,,,, Wszystkie skladniki wstrzasem w shakerze z lodem. Przecedzam do kieliszka koktajlowego... dekoruje pomarancz.,
drink, South Park, south_park, Wodka, 70 ml, Malibu, 20 ml, Sok pomaranczowy, 50 ml, Sok z czarnej porzeczki, 50 ml, Grenadyna,20 ml, Lod,,,,,, Wszystkie skladniki wstrzasam z lodem w shakerze.Przecedzam do szklanki na lod... dekoruje miechunka i pomarancz.,
drink, Sloneczny Patrol, sloneczny_patrol, Wodka, 50 ml, Wermut, 50 ml, Sok z mango, 100 ml, Sok grejfrutowy, 50 ml, Grenadyna, lyzka, Pomarancza i mieta do dekoracji, Lod,,,,, Wszystkie skladniki poza grenadyna wstrzasam w shakerze z lodem. Przecedzam do szklanki na lod... dodaje grenadyne. Dekoruje pomaranczai miet.,
