typ,nazwa drina,scieka zdjecia,skladnik 1,ilosc s1,skladnik 2,ilosc s2,skladnik 3 ,ilosc s3,skladnik 4 ,ilosc s4,skladnik 5,ilosc s5,skladnik 6,ilosc s6,skladnik 7,ilosc s7,skladnik 8,ilosc s8,instrukcje,
shot, In My Blood, in_my_blood, Wodka grejfrutowa, 50 ml, Sok zurawinowy, 70 ml, Grenadyna, 10 ml, Sok z cytryny, 10 ml,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Arezzo, arezzo, Likier kahlua, 50 ml, Mleczko skondensowane nieslodzone, 50 ml, Syrop korzenny, 10 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Flames, flames, Likier cointreau, 50 ml, Likier amaretto, 20 ml, Sok wisniowy, 80 ml, Sok z cytryny, 10 ml,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Belluno, belluno, Malibu, 50 ml, Sok z granatu, 50 ml, Sok pomaranczowy, 50 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Como, como, Tequila silver, 50 ml, Blue curacao, 30 ml, Sok pomaranczowy, 100 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze. Przelewamy do kieliszkow.,
shot, Demons, demons, Wodka gruszkowa, 50 ml, Wodka , 50 ml, Sok pomaranczowy, 100 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze. Przelewamy do kieliszkow.,
shot, One Kiss, one_kiss, Wodka malinowa, 50 ml, Rum, 50 ml, Sok z granatu, 50 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Be Mine, be_mine, Blue curacao, 50 ml, Wodka gruszkowa, 50 ml, Sok pomaranczowy, 50 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Coming Home, coming_home, Gin, 50 ml, Wodka cytrynowa, 50 ml, Sok zurawinowy, 100 ml, cukier i grenadyna lub syrop malinowy, do dekoracji,,,,,,,,, Na brzegach kieliszkow robimy cruste z cukru i grenadyny lub syropu malinowego. Wszystkie skladniki drinka wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Bella, bella, Zubrowka, 50 ml, Sok bananowy, 70 ml, Syrop mango, 20 ml, Syrop mango i kakao, do dekoracji,,,,,,,,, Na brzegu kieliszkow robimy cruste z syropu mango i kakao. Wszystkie skladniki shotow wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Titanium, titanium, Wodka, 70 ml, Sok ananasowy, 70 ml, Syrop mango, 20 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Despacito, despacito, Wodka cytrynowa, jedna druga, Blue curacao, jedna druga, cukier, do dekoracji,,,,,,,,,,, Na brzegu kieliszka robimy cruste z cukru i syropu blue curacao. Wodke i likier wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Lost On You, lost_on_you, Wodka gruszkowa, 50 ml, Malibu, 30 ml, Sok zurawinowy, 50 ml, Sok z cytryny, 20 ml,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Sky, sky, Gin, 75 ml, Sok z cytryny, 25 ml, Blue curacao, 25 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Sleep, sleep, Wodka truskawkowa, 50 ml, Wodka, 20 ml, Sok z mango, 80 ml, Grenadyna lub syrop truskawkowy oraz cukier, do dekoracji,,,,,,,,,Na brzegu kieliszkow robimy cruste z syropu i cukru. Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Zielone Wzgorza, zielone_wzgorza, Gin, 50 ml, Likier mietowy, 50 ml, Sok z cytryny, 50 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze... przelewa my do kieliszkow.,
shot, Elastic Heart, elastic_heart, Wodka ananasowa, 80 ml, Sok zurawinowy, 50 ml, Grenadyna, 10 ml, Sok z cytryny, 10 ml,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Heart Of Glass, heart_of_glass, Zubrowka, 50 ml, Sok bananowy, 80 ml, Blue curacao, 20 ml,,,,,,,,,,, Wszystkie skladni ki wstrzasa my w shakerze. Przelewa my do kieliszkow.,
shot, Proud Mary, proud_mary, Wodka, 50 ml, Likier brzoskwiniowy, 50 ml, Sok zurawinowy, 50 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Place On Earth, place_on_earth, Zubrowka, 50 ml, Sok pomaranczowy, 70 ml, Syrop imbirowy, 20 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Trapped, trapped, Gin, 20 ml, Blue curacao, 50 ml, Sok z cytryny, 50 ml, Syrop mango, 20 ml,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Monte, monte, Wodka o smaku orzechow laskowych, jedna druga, Mleczko skondensowane nieslodzone, jedna druga, Syrop orzechowy i starta czekolada, do dekoracji,,,,,,,,,,, Wodke i mleczko wstrzasamy w shakerze. Kieliszki dekorujemy crusta z syropu i czekolady. Wlewamy do nich zawartosc shaker.,
shot, Salem, salem, Zubrowka, 50 ml, Sok jablkowy, 70 ml, Syrop kolorowy i cynamon, do dekoracji,,,,,,,,,,,Na brzegu kieliszka robimy cruste z cynamonu i syropu. Skladniki shota wstrzasamy w shakerze i przelewa my do kieliszkow. ,
shot, Ananasowe Kamikaze, ananasowe_kamikaze, Wodka ananasowa, 40 ml, Blue curacao, 40 ml, Sok z cytryny, 40 ml, Lod,,,,,,,,,, Wszystkie skladniki wstrzasa my w shakerze. Przelewa my do kieliszkow.,
shot, Conga, conga, Wodka porzeczkowa, 50 ml, Gin, 50 ml, Sok z cytryny, 10 ml, Sok pomaranczowy, 40 ml, Lod,,,,,,,, Wszystkie skladniki umieszczamy w shakerze z lodem... wstrzasamy i przelewamy do kieliszkow.,
shot, Bones Of Love, bones_of_love, Wodka ananasowa, 40 ml, Malibu, 20 ml, Sok ananasowy, 60 ml, Lod,,,,,,,,,, Wszystkie skladniki umieszczamy w shakerze z kostkami lodu... wstrzasamy... nastepnie przelewamy do kieliszkow.,
shot, Tiramisu, tiramisu, Likier kahlua, 80 ml, Likier baileys, 40 ml, Mleczko skondensowane nieslodzone, 40 ml, Likier migdalowy, 10 ml, Syrop migdalowy i zmielona kawa, do dekoracji,,,,,,, Na brzegu kieliszkow robimy cruste z syropu i kawy. Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Bamboleo, bamboleo, Wodka, 50 ml, Blue curacao, 30 ml, Sok pomaranczowy, 50 ml, Sok z cytryny, 10 ml, Blue curacao, kilka kropli, Lod,,,,,, Wszystkie skladniki oprocz syropu wstrzasamy z kostkami lodu w shakerze. Przelewamy do kieliszkow... dodajemy syrop do kazdego kieliszka (wystarczy kilka kropli).,
shot, Hold The Line, hold_the_line, Wodka truskawkowa, 50 ml, Wodka pomaranczowa, 50 ml, Sok pomaranczowy, 50 ml, Sok z cytryny, 10 ml, Lod, Sos truskawkowy i kakao, do dekoracji,,,,,, Brzegi kieliszkow dekorujemy sosem i ciemnym kakao. Skladniki shota wstrzasamy z kostkami lodu w shakerze. Przecedzamy do kieliszkow.,
shot, Take It Easy, take_it_easy, Wodka sliwkowa, 50 ml, Wodka, 50 ml, Sok z cytryny, 50 ml, Grenadyna, 20 ml,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Rabiosa, rabiosa, Wodka, 50 ml, Likier mietowy, 50 ml, Sok z cytryny, 50 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Endless Summer, endless_summer, Wodka truskawkowa, 50 ml, Sok z cytryny, 40 ml, Sok bananowy, 70 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Paper Planes, paper_planes, Malibu, 50 ml, Blue curacao, 20 ml, Sok ananasowy, 80 ml, Sok z cytryny, 20 ml, Lod,,,,,,,, Wszystkie skladniki umieszcza my w shakerze z kostkami lodu... wstrzasamy... nastepnie przelewamy do kieliszkow.,
shot, Bang A Drum, bang_a_drum, Wodka ananasowa, 50 ml, Malibu, 50 ml, Likier cointreau, 50 ml, Sok bananowy, 30 ml,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze... przelewamy do kieliszkow.,
shot, Dead Or Alive, dead_or_alive, Wodka truskawkowa, 50 ml, Malibu, 20 ml, Sok zurawinowy, 50 ml, Sok z cytryny, 20 ml, Lod,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze z kostkami lodu... przecedzamy do kieliszkow. Jesli uzywamy naturalnego... kwasnego soku zurawinowego... a nie nektaru... mozna pominac sokz cytryny.,
shot, One More Song, one_more_song, Wodka porzeczkowa, 50 ml, Tequila silver, 50 ml, Sok z cytryny, 50 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Shake It, shake_it, Wodka cytrynowa, 50 ml, Blue curacao, 10 ml, Sok pomaranczowy, 50 ml, Sok bananowy, 30 ml,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Sunrise XS, sunrise_xs, Wodka, jedna druga, Sok pomaranczowy, jedna druga, Grenadyna, kilka kropli,,,,,,,,,,, Wodke wstrzasamy w shakerze z sokiem pomaranczowym. Przelewamy do kieliszkow i do kazdego dodajemy po kilka kropli grenadyny.,
shot, Acapulco, acapulco, Likier czekoladowy, 50 ml, Likier kahlua, 50 ml, Sok bananowy, 50 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Blue Stories, blue_stories, Blue curacao, 50 ml, Likier baileys, 40 ml, Mleczko skondensowane nieslodzone, 40 ml, Wodka, 50 ml,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze. Przelewa my do kieliszkow.,
shot, Blue Kamikaze, blue_kamikaze_shoty, Wodka, 40 ml, Blue curacao, 40 ml, Sok z cytryny, 40 ml, Lod,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze z lodem. Przecedzamy do trzech kieliszkow po 40 ml lub czterech po 30 ml.,
dodatek, Jak Zrobic Cruste, jak_zrobic_cruste,,,,,,,,,,,,,,,,, Crusta to dekoracyjna obwodka na brzegu kieliszka. zeby ja przygotowac... wez dwa niewielkie talerzyki. Na jeden nalej dowolny syrop lub sok z cytryny. Na drug wysyp cukier... kakao... kawe mielona... cynamon itp. Kieliszek delikatnie zanurz wsyropie i strzasnij nadmiar syropu. Nastepnie obtocz brzegw posypce.,
shot, Smak Raju, smak_raju, Malibu, 100 ml, Mleczko skondensowane nieslodzone, 40 ml, Likier czekoladowe, 30 ml, Syrop czekoladowe i kakao,,,,,,,,,, Na brzegu kieliszka robimy cruste z syropu i kakao. Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Jump, jump, Wodka pomaranczowa, 70 ml, Malibu, 50 ml, Sok pomaranczowy, 30 ml, Krem czekoladowy, do dekoracji,,,,,,,,, Wodke... Malibu i sok wstrzasamy w shakerze. Brzegi kieliszkow maczamy w kremie czekoladowyml przelewamy do nich zawartosc shaker.,
